model,model_key,condition,task,language,metric,score,ci95_low,ci95_high,n,source_file
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,en,exact_match,0.001310615989515072,0.0,0.003931847968545216,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,en,char_f1,0.4370194186152853,0.4185978917980748,0.4546599455930894,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,en,token_f1,0.15757059319368225,0.14519216312866304,0.16957300157742464,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,en,reference_contained,0.07208387942332896,0.053735255570117955,0.09043250327653997,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,en,length_ratio,2.050623043448857,1.8413802361257556,2.264025296375106,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,zh,exact_match,0.002621231979030144,0.0,0.00655307994757536,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,zh,char_f1,0.1893166035116327,0.17532080728723284,0.20358451906783556,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,zh,token_f1,0.05575084576485453,0.04556386507650088,0.06642721321792193,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,zh,reference_contained,0.09174311926605505,0.07208387942332896,0.11402359108781127,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,zh,length_ratio,3.447347576565068,3.104939824342288,3.810887597977176,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
