comparison,task,language,metric,n,original_mean,qlora_mean,absolute_gain,relative_gain_pct,cohen_dz,p_value,p_holm
Qwen2.5-7B QLoRA vs original,bilingual_approved_qa,zh,char_f1,763,0.1893166035116327,0.39828818652088993,0.20897158300925717,110.38206852069197,0.5685710258348944,3.427389188285809e-42,1.816516269791479e-40
Qwen2.5-7B QLoRA vs original,bilingual_approved_qa,zh,reference_contained,763,0.09174311926605505,0.16251638269986893,0.07077326343381389,77.14285714285714,0.1767460710344772,1.504008486009085e-06,3.0080169720181702e-05
Qwen2.5-7B QLoRA vs original,bilingual_approved_qa,en,char_f1,763,0.4370194186152853,0.6481715361958609,0.21115211758057562,48.31641537797568,0.634269491612871,7.3998854846309485e-50,4.439931290778569e-48
Qwen2.5-7B QLoRA vs original,bilingual_approved_qa,en,reference_contained,763,0.07208387942332896,0.16120576671035386,0.0891218872870249,123.63636363636365,0.24858931055570935,2.594036024669555e-11,7.003897266607798e-10
GLM-4-9B QLoRA vs original,bilingual_approved_qa,zh,char_f1,763,0.1921858105779903,0.4100592394326111,0.2178734288546208,113.36603269480517,0.6136027433259102,4.707670082100858e-46,2.683371946797489e-44
GLM-4-9B QLoRA vs original,bilingual_approved_qa,zh,reference_contained,763,0.0655307994757536,0.11402359108781127,0.04849279161205767,74.0,0.12471467591742133,0.0006247139613557679,0.009370709420336519
GLM-4-9B QLoRA vs original,bilingual_approved_qa,en,char_f1,763,0.4975099780974454,0.5519721608308883,0.054462182733442936,10.94695285142113,0.14575920046305377,1.7907264827378783e-07,3.7605256137495444e-06
GLM-4-9B QLoRA vs original,bilingual_approved_qa,en,reference_contained,763,0.06028833551769332,0.1218872870249017,0.061598951507208385,102.17391304347825,0.15263580795852716,3.038312453721167e-05,0.0005165131171325983
Qwen2.5-7B vs GLM-4-9B: original,bilingual_approved_qa,zh,char_f1,763,0.1921858105779903,0.1893166035116327,-0.0028692070663575986,-1.492933873592741,-0.013431768521903338,0.3199415509794111,1.0
Qwen2.5-7B vs GLM-4-9B: original,bilingual_approved_qa,en,char_f1,763,0.4975099780974454,0.4370194186152853,-0.06049055948216002,-12.158662568635348,-0.22329845695679998,2.740761393873876e-05,0.0004933370508972976
Qwen2.5-7B vs GLM-4-9B: qlora,bilingual_approved_qa,zh,char_f1,763,0.4100592394326111,0.39828818652088993,-0.011771052911721196,-2.8705737561257036,-0.036774787854806985,0.03898183285149242,0.31185466281193935
Qwen2.5-7B vs GLM-4-9B: qlora,bilingual_approved_qa,en,char_f1,763,0.5519721608308883,0.6481715361958609,0.09619937536497267,17.428302039755582,0.23915408537172272,5.891132359312316e-10,1.4727830898280791e-08
English vs Chinese: Qwen2.5-7B original,bilingual_approved_qa,en-vs-zh,char_f1,763,0.1893166035116327,0.4370194186152853,0.2477028151036526,130.84051293389717,0.8480020247066379,2.0249472548181644e-75,1.2959662430836252e-73
English vs Chinese: Qwen2.5-7B qlora,bilingual_approved_qa,en-vs-zh,char_f1,763,0.39828818652088993,0.6481715361958609,0.24988334967497097,62.73933250637971,0.7000376096014529,3.0485379518014135e-59,1.9205789096348904e-57
English vs Chinese: GLM-4-9B original,bilingual_approved_qa,en-vs-zh,char_f1,763,0.1921858105779903,0.4975099780974454,0.30532416751945507,158.8692560606874,1.3227430142739056,2.820691646778022e-108,1.8334495704057143e-106
English vs Chinese: GLM-4-9B qlora,bilingual_approved_qa,en-vs-zh,char_f1,763,0.4100592394326111,0.5519721608308882,0.14191292139827716,34.60790728545432,0.36159038841634467,8.225692231568095e-29,3.208019970311557e-27
qwen3_14b_reference: approved hybrid vs no retrieval,rag_answer_generation,zh,answer_f1,400,0.2950674291073224,0.44207480209449357,0.14700737298717115,49.82161990292103,0.6635058404593559,1.5140580001235507e-33,6.661855200543623e-32
qwen3_14b_reference: approved hybrid vs no retrieval,rag_answer_generation,en,answer_f1,400,0.33626657070315147,0.4542008322373405,0.117934261534189,35.07165796694632,0.6405056643826902,1.849452033001768e-30,7.582753335307249e-29
qwen2_5_original: approved hybrid vs no retrieval,rag_answer_generation,zh,answer_f1,400,0.2617308297021443,0.4024496419984453,0.14071881229630104,53.7647064567985,0.7962474399971773,3.639793484658944e-41,1.892692612022651e-39
qwen2_5_original: approved hybrid vs no retrieval,rag_answer_generation,en,answer_f1,400,0.30631163367350095,0.4394991036262519,0.13318746995275105,43.48103542639723,0.7979637179306015,4.145218344845709e-44,2.2798700896651397e-42
glm_4_original: approved hybrid vs no retrieval,rag_answer_generation,zh,answer_f1,400,0.23041452232040918,0.2974984064574424,0.06708388413703323,29.114434047584858,0.4428831783651354,3.4233800927380596e-24,1.1297154306035597e-22
glm_4_original: approved hybrid vs no retrieval,rag_answer_generation,en,answer_f1,400,0.2693082154402685,0.3176854948556445,0.048377279415376,17.963536439572852,0.5536965248653016,2.2760166640580352e-32,9.559269989043747e-31
qwen2_5_qlora: approved hybrid vs no retrieval,rag_answer_generation,zh,answer_f1,400,0.629879955722399,0.6599260818213775,0.03004612609897848,4.770135297370921,0.09847010510012424,6.111700661711076e-08,1.3445741455764368e-06
qwen2_5_qlora: approved hybrid vs no retrieval,rag_answer_generation,en,answer_f1,400,0.5735585630969284,0.6513842766561632,0.0778257135592347,13.568921914270602,0.2854167642927573,4.703963897703414e-13,1.4111891693110242e-11
glm_4_qlora: approved hybrid vs no retrieval,rag_answer_generation,zh,answer_f1,400,0.3982645746618607,0.4756576453970871,0.07739307073522637,19.43257715073844,0.2696304313201428,1.214786471651425e-10,3.158444826293705e-09
glm_4_qlora: approved hybrid vs no retrieval,rag_answer_generation,en,answer_f1,400,0.33140337411071996,0.3512298603858379,0.019826486275117898,5.982584313850101,0.15604162860972082,0.0006485675602299925,0.009370709420336519
qwen2_5_qlora vs qwen2_5_original: no_retrieval,rag_answer_generation,zh,answer_f1,400,0.2617308297021443,0.629879955722399,0.36814912602025474,140.65944254225494,1.107535736122157,1.0660049647669358e-55,6.502630285078308e-54
qwen2_5_qlora vs qwen2_5_original: no_retrieval,rag_answer_generation,en,answer_f1,400,0.30631163367350095,0.5735585630969284,0.2672469294234275,87.246744832515,1.0153857795407442,3.526850217993409e-57,2.1866471351559138e-55
qwen2_5_qlora vs qwen2_5_original: bm25_rag,rag_answer_generation,zh,answer_f1,400,0.40559607650844043,0.673992374827437,0.26839629831899653,66.17329749081318,0.8334365985918679,7.105018419963566e-45,3.978810315179597e-43
qwen2_5_qlora vs qwen2_5_original: bm25_rag,rag_answer_generation,en,answer_f1,400,0.43330187658465147,0.6440795428522312,0.21077766626757982,48.64453113588154,0.8416913526500234,1.9478363452335972e-49,1.1492234436878223e-47
qwen2_5_qlora vs qwen2_5_original: hybrid_rag_approved,rag_answer_generation,zh,answer_f1,400,0.4024496419984453,0.6599260818213775,0.25747643982293217,63.97730621510326,0.8111961998638495,1.7154617153134239e-43,9.263493262692489e-42
qwen2_5_qlora vs qwen2_5_original: hybrid_rag_approved,rag_answer_generation,en,answer_f1,400,0.4394991036262519,0.6513842766561632,0.2118851730299111,48.210604135861296,0.8410784390837467,7.73984207312054e-47,4.489108402409913e-45
glm_4_qlora vs glm_4_original: no_retrieval,rag_answer_generation,zh,answer_f1,400,0.23041452232040918,0.3982645746618607,0.1678500523414515,72.84699360574288,0.6179149766992567,7.31321556437802e-40,3.65660778218901e-38
glm_4_qlora vs glm_4_original: no_retrieval,rag_answer_generation,en,answer_f1,400,0.2693082154402685,0.33140337411071996,0.0620951586704515,23.057283480542004,0.5409902758350372,1.2513724029974187e-27,4.630077891090449e-26
glm_4_qlora vs glm_4_original: bm25_rag,rag_answer_generation,zh,answer_f1,400,0.2913301928382671,0.48172675184065833,0.19039655900239122,65.35421445592853,0.6467986610626848,8.3022934718154e-34,3.7360320623169295e-32
glm_4_qlora vs glm_4_original: bm25_rag,rag_answer_generation,en,answer_f1,400,0.31382988411541635,0.3550241333570824,0.04119424924166605,13.126299096014755,0.2844818201203769,1.5338956460215356e-09,3.6813495504516854e-08
glm_4_qlora vs glm_4_original: hybrid_rag_approved,rag_answer_generation,zh,answer_f1,400,0.2974984064574424,0.4756576453970871,0.17815923893964464,59.88577924202447,0.5811048986854546,1.0894088581468984e-26,3.8129310035141444e-25
glm_4_qlora vs glm_4_original: hybrid_rag_approved,rag_answer_generation,en,answer_f1,400,0.3176854948556445,0.3512298603858379,0.033544365530193396,10.558985560683489,0.24645612513663093,3.0585830685829606e-08,7.03474105774081e-07
English vs Chinese: qwen3_14b_reference no_retrieval,rag_answer_generation,en-vs-zh,answer_f1,400,0.2950674291073224,0.33626657070315147,0.04119914159582903,13.962619229262343,0.20220758250663823,5.684103980571411e-06,0.00010799797563085681
English vs Chinese: qwen3_14b_reference bm25_rag,rag_answer_generation,en-vs-zh,answer_f1,400,0.439044522208905,0.4641728468603485,0.025128324651443545,5.723411494811238,0.0771348029870557,0.9800730097393006,1.0
English vs Chinese: qwen3_14b_reference hybrid_rag_approved,rag_answer_generation,en-vs-zh,answer_f1,400,0.44207480209449357,0.4542008322373405,0.012126030142846904,2.742981523804418,0.043120587449378925,0.7475522024440187,1.0
English vs Chinese: qwen2_5_original no_retrieval,rag_answer_generation,en-vs-zh,answer_f1,400,0.2617308297021443,0.30631163367350095,0.04458080397135666,17.033073261598812,0.21939391109436535,0.0006669646596354672,0.009370709420336519
English vs Chinese: qwen2_5_original bm25_rag,rag_answer_generation,en-vs-zh,answer_f1,400,0.40559607650844043,0.43330187658465147,0.0277058000762111,6.830884636438179,0.08677234480434366,0.7491589543219044,1.0
English vs Chinese: qwen2_5_original hybrid_rag_approved,rag_answer_generation,en-vs-zh,answer_f1,400,0.4024496419984453,0.4394991036262519,0.03704946162780666,9.205986976117073,0.13094911553067837,0.05144123680883125,0.31185466281193935
English vs Chinese: glm_4_original no_retrieval,rag_answer_generation,en-vs-zh,answer_f1,400,0.23041452232040918,0.2693082154402685,0.038893693119859324,16.87987924032611,0.28865209921235074,3.16421915218746e-13,9.809079371781126e-12
English vs Chinese: glm_4_original bm25_rag,rag_answer_generation,en-vs-zh,answer_f1,400,0.2913301928382671,0.31382988411541635,0.022499691277149285,7.723089412033603,0.13547594549198444,0.0010604739653351774,0.012725687584022129
English vs Chinese: glm_4_original hybrid_rag_approved,rag_answer_generation,en-vs-zh,answer_f1,400,0.2974984064574424,0.3176854948556445,0.0201870883982021,6.785612278931616,0.11786504120894682,0.0033214393676278845,0.03321439367627885
English vs Chinese: qwen2_5_qlora no_retrieval,rag_answer_generation,en-vs-zh,answer_f1,400,0.629879955722399,0.5735585630969284,-0.05632139262547055,-8.94160738308881,-0.1819404002260616,0.0001901941372542762,0.003043106196068419
English vs Chinese: qwen2_5_qlora bm25_rag,rag_answer_generation,en-vs-zh,answer_f1,400,0.673992374827437,0.6440795428522312,-0.029912831975205646,-4.438155844547093,-0.07620607915962921,0.005286075527684242,0.04757467974915818
English vs Chinese: qwen2_5_qlora hybrid_rag_approved,rag_answer_generation,en-vs-zh,answer_f1,400,0.6599260818213775,0.6513842766561632,-0.008541805165214331,-1.2943578683296149,-0.022099176014717094,0.04113626718599723,0.31185466281193935
English vs Chinese: glm_4_qlora no_retrieval,rag_answer_generation,en-vs-zh,answer_f1,400,0.3982645746618607,0.33140337411071996,-0.06686120055114067,-16.788136531577774,-0.2645763805258612,0.08312807655775808,0.41564038278879045
English vs Chinese: glm_4_qlora bm25_rag,rag_answer_generation,en-vs-zh,answer_f1,400,0.48172675184065833,0.3550241333570824,-0.1267026184835759,-26.301760904797238,-0.4361849716195626,8.826247386806109e-13,2.5596117421737717e-11
English vs Chinese: glm_4_qlora hybrid_rag_approved,rag_answer_generation,en-vs-zh,answer_f1,400,0.4756576453970871,0.3512298603858379,-0.12442778501124913,-26.15910544386913,-0.43938147892640156,2.354701466878538e-12,6.593164107259907e-11
Qwen2.5 vs GLM-4: original no_retrieval,rag_answer_generation,zh,answer_f1,400,0.23041452232040918,0.2617308297021443,0.0313163073817351,13.591290629757859,0.3127926720615213,1.880983949470398e-16,6.019148638305274e-15
Qwen2.5 vs GLM-4: original no_retrieval,rag_answer_generation,en,answer_f1,400,0.2693082154402685,0.30631163367350095,0.037003418233232444,13.740174310218789,0.26024194924228916,0.0012546530398815391,0.013801183438696931
Qwen2.5 vs GLM-4: original bm25_rag,rag_answer_generation,zh,answer_f1,400,0.2913301928382671,0.40559607650844043,0.11426588367017333,39.222122004226456,0.6767253060735332,3.8472489394058006e-38,1.885151980308842e-36
Qwen2.5 vs GLM-4: original bm25_rag,rag_answer_generation,en,answer_f1,400,0.31382988411541635,0.43330187658465147,0.11947199246923516,38.06902991599655,0.6057841674181762,1.708731795272254e-24,5.809688103925664e-23
Qwen2.5 vs GLM-4: original hybrid_rag_approved,rag_answer_generation,zh,answer_f1,400,0.2974984064574424,0.4024496419984453,0.10495123554100293,35.277915196502526,0.6294453160567877,4.6203841910011315e-33,1.9867652021304865e-31
Qwen2.5 vs GLM-4: original hybrid_rag_approved,rag_answer_generation,en,answer_f1,400,0.3176854948556445,0.4394991036262519,0.12181360877060747,38.34408896319275,0.638408112151869,9.631225114603135e-30,3.8524900458412538e-28
Qwen2.5 vs GLM-4: qlora no_retrieval,rag_answer_generation,zh,answer_f1,400,0.3982645746618607,0.629879955722399,0.23161538106053828,58.15615944681676,0.70221807484513,1.1962528413694685e-34,5.502763070299555e-33
Qwen2.5 vs GLM-4: qlora no_retrieval,rag_answer_generation,en,answer_f1,400,0.33140337411071996,0.5735585630969284,0.24215518898620844,73.06962086188832,0.763584046906739,2.91826099916477e-36,1.371582669607442e-34
Qwen2.5 vs GLM-4: qlora bm25_rag,rag_answer_generation,zh,answer_f1,400,0.48172675184065833,0.673992374827437,0.19226562298677866,39.91175957161182,0.5731695194288388,1.962326117528948e-28,7.456839246610002e-27
Qwen2.5 vs GLM-4: qlora bm25_rag,rag_answer_generation,en,answer_f1,400,0.3550241333570824,0.6440795428522312,0.28905540949514896,81.41852407662039,0.7941695622440231,1.5145757538044367e-37,7.269963618261297e-36
Qwen2.5 vs GLM-4: qlora hybrid_rag_approved,rag_answer_generation,zh,answer_f1,400,0.4756576453970871,0.6599260818213775,0.18426843642429042,38.73971925132413,0.5478109434040015,1.3497744672652419e-27,4.859188082154871e-26
Qwen2.5 vs GLM-4: qlora hybrid_rag_approved,rag_answer_generation,en,answer_f1,400,0.3512298603858379,0.6513842766561632,0.30015441627032524,85.45811450672088,0.835920269147824,9.341915627292732e-41,4.764376969919293e-39
