generator,strategy,language,cases,answer_f1,reference_containment,citation_coverage,evidence_hit,hallucination_proxy,retrieval_ms,generation_ms,end_to_end_ms,answer_f1_ci95_low,answer_f1_ci95_high,source_file
glm_4_original,no_retrieval,zh,400,0.23041452232040918,0.31993484386585147,0.4425,0.0,0.5575,6.378530088113621e-05,799.8788593274367,799.8789231127375,0.21287547315007796,0.2489107161952848,results/ijwis_single_gpu_3090/rag/glm_4_original.json
glm_4_original,no_retrieval,en,400,0.2693082154402685,0.3667692179303341,0.1375,0.0,0.8625,6.304224370978773e-05,799.8788593274367,799.8789223696804,0.2519435890422654,0.28558213406817645,results/ijwis_single_gpu_3090/rag/glm_4_original.json
glm_4_original,bm25_rag,zh,400,0.2913301928382671,0.4351986427300081,0.425,0.595,0.575,76.08607217312965,1024.4612191511987,1100.5472913243284,0.2687174802014621,0.31358898267335367,results/ijwis_single_gpu_3090/rag/glm_4_original.json
glm_4_original,bm25_rag,en,400,0.31382988411541635,0.44807724227740736,0.5575,0.67,0.4425,59.1269383879262,1024.4612191511987,1083.588157539125,0.29570235197691497,0.33247407597044415,results/ijwis_single_gpu_3090/rag/glm_4_original.json
glm_4_original,hybrid_rag_approved,zh,400,0.2974984064574424,0.48477373385840655,0.415,0.675,0.585,227.84520760003943,1006.7141742336753,1234.5593818337147,0.2748225679276777,0.3205216121663884,results/ijwis_single_gpu_3090/rag/glm_4_original.json
glm_4_original,hybrid_rag_approved,en,400,0.3176854948556445,0.46314246445809704,0.56,0.6675,0.44,209.98385155759024,1006.7141742336753,1216.6980257912655,0.29876601703161787,0.3354281927016385,results/ijwis_single_gpu_3090/rag/glm_4_original.json
glm_4_qlora,no_retrieval,zh,400,0.39826457466186066,0.5720636919113518,0.0025,0.0,0.9975,6.378530088113621e-05,1075.7056051504333,1075.7056689357341,0.3656939441986631,0.4287599001143855,results/ijwis_single_gpu_3090/rag/glm_4_qlora.json
glm_4_qlora,no_retrieval,en,400,0.33140337411072,0.5003807758641017,0.045,0.0,0.955,6.304224370978773e-05,1075.7056051504333,1075.705668192677,0.31049291273558915,0.35082336644812495,results/ijwis_single_gpu_3090/rag/glm_4_qlora.json
glm_4_qlora,bm25_rag,zh,400,0.48172675184065833,0.6677060369636835,0.025,0.595,0.975,76.08607217312965,1242.2704580986829,1318.3565302718125,0.4506129665914989,0.5109759545291797,results/ijwis_single_gpu_3090/rag/glm_4_qlora.json
glm_4_qlora,bm25_rag,en,400,0.35502413335708244,0.5596927860848131,0.0625,0.67,0.9375,59.1269383879262,1242.2704580986829,1301.397396486609,0.33196382401990154,0.3762606034612894,results/ijwis_single_gpu_3090/rag/glm_4_qlora.json
glm_4_qlora,hybrid_rag_approved,zh,400,0.47565764539708705,0.6882109139925279,0.0175,0.675,0.9825,227.84520760003943,1225.553394167655,1453.3986017676943,0.44578051468118796,0.5048886174683158,results/ijwis_single_gpu_3090/rag/glm_4_qlora.json
glm_4_qlora,hybrid_rag_approved,en,400,0.3512298603858379,0.5586319103081844,0.05,0.6675,0.95,209.98385155759024,1225.553394167655,1435.5372457252452,0.32755938265325285,0.37317482283258185,results/ijwis_single_gpu_3090/rag/glm_4_qlora.json
qwen2_5_original,no_retrieval,zh,400,0.2617308297021443,0.3578568541276697,0.405,0.0,0.595,6.378530088113621e-05,603.0622851872977,603.0623489725986,0.2425931956141531,0.28092037885004567,results/ijwis_single_gpu_3090/rag/qwen2_5_original.json
qwen2_5_original,no_retrieval,en,400,0.30631163367350095,0.38702814104213634,0.4475,0.0,0.5525,6.304224370978773e-05,603.0622851872977,603.0623482295414,0.28687564910328894,0.324646381488919,results/ijwis_single_gpu_3090/rag/qwen2_5_original.json
qwen2_5_original,bm25_rag,zh,400,0.40559607650844043,0.5349186360543486,0.5425,0.595,0.4575,76.08607217312965,730.7989114140219,806.8849835871515,0.3781159425194795,0.43262732978682217,results/ijwis_single_gpu_3090/rag/qwen2_5_original.json
qwen2_5_original,bm25_rag,en,400,0.4333018765846515,0.5439708634952812,0.6375,0.67,0.3625,59.1269383879262,730.7989114140219,789.9258498019481,0.41108862243167676,0.4555042186951234,results/ijwis_single_gpu_3090/rag/qwen2_5_original.json
qwen2_5_original,hybrid_rag_approved,zh,400,0.4024496419984453,0.5513169649396941,0.595,0.675,0.405,227.84520760003943,707.6589156611954,935.5041232612348,0.37524833999595925,0.428369119400822,results/ijwis_single_gpu_3090/rag/qwen2_5_original.json
qwen2_5_original,hybrid_rag_approved,en,400,0.439499103626252,0.5556391427400452,0.6425,0.6675,0.3575,209.98385155759024,707.6589156611954,917.6427672187856,0.41764613390915356,0.4612801108836124,results/ijwis_single_gpu_3090/rag/qwen2_5_original.json
qwen2_5_qlora,no_retrieval,zh,400,0.629879955722399,0.677250266129135,0.0025,0.0,0.9975,6.378530088113621e-05,472.91828927347524,472.9183530587761,0.5965060462576305,0.6619306763973816,results/ijwis_single_gpu_3090/rag/qwen2_5_qlora.json
qwen2_5_qlora,no_retrieval,en,400,0.5735585630969284,0.6060598257231911,0.0025,0.0,0.9975,6.304224370978773e-05,472.91828927347524,472.91835231571895,0.5432507588494916,0.6040746090930462,results/ijwis_single_gpu_3090/rag/qwen2_5_qlora.json
qwen2_5_qlora,bm25_rag,zh,400,0.673992374827437,0.7733005928553385,0.0,0.595,1.0,76.08607217312965,705.929309037565,782.0153812106946,0.6406042719057136,0.7067935171522719,results/ijwis_single_gpu_3090/rag/qwen2_5_qlora.json
qwen2_5_qlora,bm25_rag,en,400,0.6440795428522313,0.6877736284992635,0.0,0.67,1.0,59.1269383879262,705.929309037565,765.0562474254912,0.6119127656305746,0.6761413314767586,results/ijwis_single_gpu_3090/rag/qwen2_5_qlora.json
qwen2_5_qlora,hybrid_rag_approved,zh,400,0.6599260818213775,0.7675801824227393,0.0,0.675,1.0,227.84520760003943,701.831435580134,929.6766431801734,0.6259127735049668,0.6939480215343576,results/ijwis_single_gpu_3090/rag/qwen2_5_qlora.json
qwen2_5_qlora,hybrid_rag_approved,en,400,0.6513842766561632,0.6865815639097004,0.0025,0.6675,0.9975,209.98385155759024,701.831435580134,911.8152871377242,0.6201722162527644,0.6809485921902326,results/ijwis_single_gpu_3090/rag/qwen2_5_qlora.json
qwen3_14b_reference,no_retrieval,zh,400,0.2950674291073224,0.3975657648410004,0.475,0.0,0.525,6.378530088113621e-05,1018.3206806567614,1018.3207444420623,0.27276204168528895,0.31856140291020113,results/ijwis_single_gpu_3090/rag/qwen3_14b_reference.json
qwen3_14b_reference,no_retrieval,en,400,0.33626657070315147,0.410872457848944,0.8225,0.0,0.1775,6.304224370978773e-05,966.5592818475125,966.5593448897562,0.31838260052461365,0.35367782765124234,results/ijwis_single_gpu_3090/rag/qwen3_14b_reference.json
qwen3_14b_reference,bm25_rag,zh,400,0.43904452220890494,0.5771214626244209,0.715,0.595,0.285,76.08607217312965,993.8606421955774,1069.946714368707,0.40875275881122014,0.46816939430778176,results/ijwis_single_gpu_3090/rag/qwen3_14b_reference.json
qwen3_14b_reference,bm25_rag,en,400,0.4641728468603485,0.5740499704361014,0.9,0.67,0.1,59.1269383879262,1000.2099474575516,1059.3368858454778,0.4401614979435963,0.4882309269834211,results/ijwis_single_gpu_3090/rag/qwen3_14b_reference.json
qwen3_14b_reference,hybrid_rag_approved,zh,400,0.44207480209449357,0.6076259835503602,0.7875,0.675,0.2125,227.84520760003943,994.4145973883133,1222.2598049883527,0.41490510315521417,0.46985377198901046,results/ijwis_single_gpu_3090/rag/qwen3_14b_reference.json
qwen3_14b_reference,hybrid_rag_approved,en,400,0.4542008322373405,0.5654612216617061,0.905,0.6675,0.095,209.98385155759024,1025.1329121482559,1235.116763705846,0.43176659339749107,0.4768272066449992,results/ijwis_single_gpu_3090/rag/qwen3_14b_reference.json
