mode,approved_only,language,cases,recall_at_1,recall_at_3,recall_at_5,mrr,mean_latency_ms,top_k,source_file,recall_at_8
bm25,False,en,400,0.57,0.57,0.57,0.57,64.36293569982809,1,data/exports/retrieval_eval_top1.json,
bm25,False,zh,400,0.52,0.52,0.52,0.52,69.3088312225882,1,data/exports/retrieval_eval_top1.json,
vector,False,en,400,0.4625,0.4625,0.4625,0.4625,149.84526665466547,1,data/exports/retrieval_eval_top1.json,
vector,False,zh,400,0.5175,0.5175,0.5175,0.5175,133.77795051801513,1,data/exports/retrieval_eval_top1.json,
hybrid,False,en,400,0.57,0.57,0.57,0.57,207.09116074245685,1,data/exports/retrieval_eval_top1.json,
hybrid,False,zh,400,0.57,0.57,0.57,0.57,218.0788519426278,1,data/exports/retrieval_eval_top1.json,
hybrid,True,en,400,0.57,0.57,0.57,0.57,208.599458369863,1,data/exports/retrieval_eval_top1.json,
hybrid,True,zh,400,0.57,0.57,0.57,0.57,217.61884495248523,1,data/exports/retrieval_eval_top1.json,
bm25,False,en,400,0.57,0.67,0.67,0.61625,58.744886618042074,3,data/exports/retrieval_eval_top3.json,
bm25,False,zh,400,0.52,0.595,0.595,0.5541666666666667,69.32609392471932,3,data/exports/retrieval_eval_top3.json,
vector,False,en,400,0.4625,0.5525,0.5525,0.5029166666666667,133.97131098747195,3,data/exports/retrieval_eval_top3.json,
vector,False,zh,400,0.5175,0.6525,0.6525,0.5791666666666666,133.9381147926906,3,data/exports/retrieval_eval_top3.json,
hybrid,False,en,400,0.57,0.6675,0.6675,0.61125,208.68661962489568,3,data/exports/retrieval_eval_top3.json,
hybrid,False,zh,400,0.57,0.675,0.675,0.6183333333333334,217.60952728262055,3,data/exports/retrieval_eval_top3.json,
hybrid,True,en,400,0.57,0.6675,0.6675,0.61125,209.06995433502743,3,data/exports/retrieval_eval_top3.json,
hybrid,True,zh,400,0.57,0.675,0.675,0.6183333333333334,217.93235571236437,3,data/exports/retrieval_eval_top3.json,
bm25,False,en,400,0.57,0.67,0.685,0.6195,59.03016890515573,5,data/exports/retrieval_eval_top5.json,
bm25,False,zh,400,0.52,0.595,0.62,0.5597916666666667,69.53762958506559,5,data/exports/retrieval_eval_top5.json,
vector,False,en,400,0.4625,0.5525,0.58,0.5090416666666667,134.37389192997216,5,data/exports/retrieval_eval_top5.json,
vector,False,zh,400,0.5175,0.6525,0.69,0.5877916666666667,134.3626431075245,5,data/exports/retrieval_eval_top5.json,
hybrid,False,en,400,0.57,0.6675,0.7075,0.6204999999999999,208.959124704852,5,data/exports/retrieval_eval_top5.json,
hybrid,False,zh,400,0.57,0.675,0.715,0.6278333333333334,217.51751705472998,5,data/exports/retrieval_eval_top5.json,
hybrid,True,en,400,0.57,0.6675,0.7075,0.6204999999999999,209.24446761480795,5,data/exports/retrieval_eval_top5.json,
hybrid,True,zh,400,0.57,0.675,0.715,0.6278333333333334,217.59308449236414,5,data/exports/retrieval_eval_top5.json,
bm25,False,en,400,0.57,0.67,0.685,0.6226101190476191,59.33536488973914,8,data/exports/retrieval_eval_top8.json,0.705
bm25,False,zh,400,0.52,0.595,0.62,0.5609375,69.48203575499065,8,data/exports/retrieval_eval_top8.json,0.6275
vector,False,en,400,0.4625,0.5525,0.58,0.5172113095238094,135.01598992534127,8,data/exports/retrieval_eval_top8.json,0.635
vector,False,zh,400,0.5175,0.6525,0.69,0.5924791666666666,134.96824495010515,8,data/exports/retrieval_eval_top8.json,0.7225
hybrid,False,en,400,0.57,0.6675,0.7075,0.6228958333333332,208.72618619723653,8,data/exports/retrieval_eval_top8.json,0.7225
hybrid,False,zh,400,0.57,0.675,0.715,0.6319404761904761,217.51113736241678,8,data/exports/retrieval_eval_top8.json,0.7425
hybrid,True,en,400,0.57,0.6675,0.7075,0.6228958333333332,209.24342057736794,8,data/exports/retrieval_eval_top8.json,0.7225
hybrid,True,zh,400,0.57,0.675,0.715,0.6319404761904761,217.912011984954,8,data/exports/retrieval_eval_top8.json,0.7425
