variant,variant_label,method,language,cases,recall_at_1,recall_at_3,recall_at_5,mrr,mean_search_ms
source_only,Source evidence,bm25,zh,400,0.41,0.4925,0.51,0.45000000000000007,50.03697759791976
source_only,Source evidence,vector,zh,400,0.5425,0.6375,0.6575,0.5892083333333333,3.9260843888041563
source_only,Source evidence,hybrid,zh,400,0.4925,0.5875,0.6375,0.5479166666666667,53.963061986723915
source_only,Source evidence,bm25,en,400,0.27,0.295,0.3075,0.2833333333333334,50.03697759791976
source_only,Source evidence,vector,en,400,0.3625,0.46,0.4825,0.411125,3.9260843888041563
source_only,Source evidence,hybrid,en,400,0.3075,0.4,0.4475,0.3608749999999999,53.963061986723915
zh_only,Chinese fields,bm25,zh,400,0.3975,0.4775,0.5075,0.4396666666666666,53.23383586364798
zh_only,Chinese fields,vector,zh,400,0.645,0.73,0.7475,0.6860833333333332,3.526879585115239
zh_only,Chinese fields,hybrid,zh,400,0.5,0.605,0.6525,0.5579583333333332,56.76071544876322
zh_only,Chinese fields,bm25,en,400,0.27,0.2925,0.305,0.282625,53.23383586364798
zh_only,Chinese fields,vector,en,400,0.465,0.56,0.6,0.5154583333333334,3.526879585115239
zh_only,Chinese fields,hybrid,en,400,0.3125,0.4775,0.53,0.4029166666666666,56.76071544876322
en_only,English fields,bm25,zh,400,0.2275,0.2375,0.2675,0.23883333333333337,69.85250303114299
en_only,English fields,vector,zh,400,0.5125,0.61,0.655,0.567625,3.5305769788101315
en_only,English fields,hybrid,zh,400,0.285,0.5,0.56,0.3990833333333334,73.38308000995312
en_only,English fields,bm25,en,400,0.59,0.6775,0.6875,0.6309999999999999,69.85250303114299
en_only,English fields,vector,en,400,0.56,0.6525,0.6975,0.6138750000000001,3.5305769788101315
en_only,English fields,hybrid,en,400,0.595,0.68,0.7125,0.6408333333333335,73.38308000995312
bilingual,Bilingual fields,bm25,zh,400,0.395,0.475,0.5175,0.4402083333333333,114.87938899692381
bilingual,Bilingual fields,vector,zh,400,0.6275,0.73,0.7475,0.6810833333333334,3.5267684949212708
bilingual,Bilingual fields,hybrid,zh,400,0.515,0.6525,0.7175,0.5925,118.40615749184508
bilingual,Bilingual fields,bm25,en,400,0.495,0.58,0.6075,0.5398333333333334,114.87938899692381
bilingual,Bilingual fields,vector,en,400,0.58,0.6725,0.7025,0.6272916666666667,3.5267684949212708
bilingual,Bilingual fields,hybrid,en,400,0.54,0.6375,0.675,0.592125,118.40615749184508
