model,model_key,condition,task,language,metric,score,ci95_low,ci95_high,n,source_file
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,en,char_f1,0.4370194186152853,0.4185978917980748,0.4546599455930894,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,en,reference_contained,0.07208387942332896,0.053735255570117955,0.09043250327653997,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,zh,char_f1,0.1893166035116327,0.17532080728723284,0.20358451906783556,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,original,bilingual_approved_qa,zh,reference_contained,0.09174311926605505,0.07208387942332896,0.11402359108781127,763,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_bilingual_approved_qa_generations.json
GLM-4-9B,glm_4_9b_chat_hf,original,bilingual_approved_qa,en,char_f1,0.4975099780974454,0.4805138943312425,0.5149236091267347,763,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_bilingual_approved_qa_generations.json
GLM-4-9B,glm_4_9b_chat_hf,original,bilingual_approved_qa,en,reference_contained,0.06028833551769332,0.04456094364351245,0.07732634338138926,763,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_bilingual_approved_qa_generations.json
GLM-4-9B,glm_4_9b_chat_hf,original,bilingual_approved_qa,zh,char_f1,0.1921858105779903,0.17868836173013183,0.2070327072613063,763,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_bilingual_approved_qa_generations.json
GLM-4-9B,glm_4_9b_chat_hf,original,bilingual_approved_qa,zh,reference_contained,0.0655307994757536,0.04849279161205767,0.08387942332896461,763,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,bilingual_approved_qa,en,char_f1,0.6481715361958609,0.6318841172955205,0.6643800300458944,763,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,bilingual_approved_qa,en,reference_contained,0.16120576671035386,0.1363040629095675,0.1874180865006553,763,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,bilingual_approved_qa,zh,char_f1,0.39828818652088993,0.37623513463067193,0.42220540819342095,763,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_bilingual_approved_qa_generations.json
Qwen2.5-7B,qwen2_5_7b_instruct,qlora,bilingual_approved_qa,zh,reference_contained,0.16251638269986893,0.13761467889908258,0.18872870249017037,763,results/ijwis_single_gpu_3090/qlora_eval/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_adapted_bilingual_approved_qa_generations.json
GLM-4-9B,glm_4_9b_chat_hf,qlora,bilingual_approved_qa,en,char_f1,0.5519721608308883,0.5217119326170904,0.5817932801165943,763,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_bilingual_approved_qa_generations.json
GLM-4-9B,glm_4_9b_chat_hf,qlora,bilingual_approved_qa,en,reference_contained,0.1218872870249017,0.09960681520314547,0.145478374836173,763,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_bilingual_approved_qa_generations.json
GLM-4-9B,glm_4_9b_chat_hf,qlora,bilingual_approved_qa,zh,char_f1,0.4100592394326111,0.38419548989275826,0.43588871926531053,763,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_bilingual_approved_qa_generations.json
GLM-4-9B,glm_4_9b_chat_hf,qlora,bilingual_approved_qa,zh,reference_contained,0.11402359108781127,0.09174311926605505,0.13761467889908258,763,results/ijwis_single_gpu_3090/qlora_eval/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_adapted_bilingual_approved_qa_generations.json
