model,model_key,condition,direction,subtask,metric,score,n,signature,source_file,ci95_low,ci95_high
Qwen2.5-7B,qwen2_5_7b_instruct,original,zh_to_en,terminology,corpus_bleu,0.33635354593410444,1201,nrefs:1|case:mixed|eff:yes|tok:13a|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,original,zh_to_en,terminology,chrf_pp,10.409279554287277,1201,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,original,zh_to_en,terminology,terminology_success_rate,0.06411323896752706,1201,,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,original,zh_to_en,sentence,corpus_bleu,18.601307156969835,116,nrefs:1|case:mixed|eff:yes|tok:13a|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,original,zh_to_en,sentence,chrf_pp,47.42479201969727,116,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,original,en_to_zh,terminology,corpus_bleu,7.95862274684271,1201,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,original,en_to_zh,terminology,chrf_pp,6.982321492653584,1201,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,original,en_to_zh,terminology,terminology_success_rate,0.16402997502081598,1201,,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,original,en_to_zh,sentence,corpus_bleu,32.21532865292686,116,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,original,en_to_zh,sentence,chrf_pp,20.130711032997624,116,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations.json,,
Qwen2.5-7B,qwen2_5_7b_instruct,original,zh_to_en,terminology,COMET,0.5014290452053108,1201,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations_comet.json,0.4938334316933383,0.5092446673770035
Qwen2.5-7B,qwen2_5_7b_instruct,original,zh_to_en,sentence,COMET,0.6555060564443983,116,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations_comet.json,0.6340677244909878,0.6770369061108293
Qwen2.5-7B,qwen2_5_7b_instruct,original,en_to_zh,terminology,COMET,0.5956961453506889,1201,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations_comet.json,0.5842294749570429,0.6076102903939405
Qwen2.5-7B,qwen2_5_7b_instruct,original,en_to_zh,sentence,COMET,0.6103801267414257,116,Unbabel/wmt22-comet-da,results/ijwis_single_gpu_3090/baseline/qwen2_5_7b_instruct/qwen2_5_7b_instruct_int4_original_domain_qa_generations_comet.json,0.5848840999192205,0.6371398267560991
GLM-4-9B,glm_4_9b_chat_hf,original,zh_to_en,terminology,corpus_bleu,0.15836243138144354,1201,nrefs:1|case:mixed|eff:yes|tok:13a|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,original,zh_to_en,terminology,chrf_pp,10.901055116547493,1201,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,original,zh_to_en,terminology,terminology_success_rate,0.10990840965861781,1201,,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,original,zh_to_en,sentence,corpus_bleu,17.66077538176599,116,nrefs:1|case:mixed|eff:yes|tok:13a|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,original,zh_to_en,sentence,chrf_pp,50.543576608531694,116,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,original,en_to_zh,terminology,corpus_bleu,1.958935596216422,1201,nrefs:1|case:mixed|eff:yes|tok:zh|smooth:exp|version:2.6.0,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations.json,,
GLM-4-9B,glm_4_9b_chat_hf,original,en_to_zh,terminology,chrf_pp,3.657067594017447,1201,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,results/ijwis_single_gpu_3090/baseline/glm_4_9b_chat_hf/glm_4_9b_chat_hf_int4_original_domain_qa_generations.json,,
